87255r	140181f	170	100	3	100	100	1	99	96.97	1e-42	+
111831f	140355f	117	100	1	79	100	19	98	93.75	2e-26	+
128326f	140355f	149	100	10	100	100	1	92	95.65	4e-36	+
109368r	145540r	167	100	100	9	100	9	100	97.83	2e-41	-
4021f	147023r	123	100	19	100	100	7	89	93.98	3e-28	+
5955r	147023r	129	100	93	1	100	7	100	92.55	4e-30	-
21199r	147023r	111	100	3	78	100	25	100	93.42	1e-24	+
26079f	147023r	139	100	90	1	100	7	97	94.51	4e-33	-
65932f	147023r	101	100	46	100	100	1	55	98.18	9e-22	+
69094r	147023r	127	100	76	1	100	1	76	96.05	2e-29	-
99187r	147023r	137	100	12	100	100	7	96	94.44	2e-32	+
111831f	147023r	119	100	1	68	100	33	100	97.06	4e-27	+
128326f	147023r	180	100	1	95	100	6	100	98.95	1e-45	+
111831f	149674f	123	100	97	20	100	23	100	94.87	3e-28	-
120463r	149674f	113	100	61	1	100	1	61	98.36	2e-25	-
147023r	149674r	109	100	1	59	100	42	100	98.31	4e-24	+
7328f	151223r	73.8	100	100	45	100	43	98	91.07	2e-13	-
26079r	151023r	105	100	1	61	100	37	97	96.72	6e-23	+
99634f	151223r	109	100	1	59	100	42	100	98.31	4e-24	+
111626f	151023f	87.7	100	1	60	100	23	82	93.33	1e-17	+
111831f	151023f	133	100	71	1	100	1	71	98.59	3e-31	-
128326f	151023f	159	100	98	2	100	1	96	95.88	5e-39	-
147023r	151023f	145	100	100	7	100	4	96	94.68	7e-35	-
22567r	166983r	125	100	1	63	100	38	100	100	6e-29	+
37485r	166983r	127	100	25	100	100	1	76	96.05	2e-29	+
38815r	166983r	105	100	2	62	100	39	100	96.77	6e-23	+
109368r	166983f	161	100	1	89	100	12	100	97.75	1e-39	+
94302r	178286f	149	100	95	1	100	1	95	94.79	4e-36	-
99634r	178286f	135	100	29	100	100	1	72	98.61	7e-32	+
109368r	178286f	178	100	1	98	100	3	100	97.96	5e-45	+
151223r	178286r	155	100	1	82	100	19	100	98.78	7e-38	+
